layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.1863099,0.8911019,-8.798509,2.8780637,-6.557401657104492,-1.4052056074142456,-1.2636228919029235,0.054462729580700246,0.0779605284333229,0.08645148575305939,0.0954446941614151
5,diffusion_model.time_embed.2,Linear,0.0030519357,0.07493234,-0.9007071,1.842314,-0.013453375548124313,-0.010755540803074837,-0.008657782990485429,0.008742300933226942,0.011713031679391861,0.018311968073248863,0.15924347937107086
8,diffusion_model.input_blocks.0.0,Conv2d,0.0031576743,0.3223419,-9.589412,8.705112,-0.8965838646888733,-0.6791341304779053,-0.4620246380567551,0.4502066493034361,0.6427150964736938,0.8219260525703398,1.0446051311492992
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.115638144,0.96310896,-31.550337,37.454304,-3.104801001548767,-2.535574197769165,-1.7965113878250123,1.2201650619506834,1.6069272756576538,1.905021866559982,2.224053469896319
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,0.041233573,0.2870965,-1.1616341,0.85671127,-0.8907347321510315,-0.7291115522384644,-0.3936958983540535,0.4617097750306126,0.5553573369979858,0.5888036489486694,0.6205137372016907
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.03508191,0.4192328,-35.19822,5.248895,-1.3951682519912718,-1.1130400896072388,-0.6959477424621582,0.5207739293575283,0.7280795574188232,0.9357751500606531,1.255556368827821
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.00382027,0.24588712,-3.0122454,2.97037,-0.6349220740795135,-0.5058700442314148,-0.3631399616599083,0.37556846439838404,0.5423880219459534,0.7223299914598438,0.9470068931579596
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.00090248225,1.3729876,-7.504746,8.143842,-3.3191050481796265,-2.8974416255950928,-2.2712010979652404,2.263051366806029,2.9027087688446045,3.336380126476281,3.7421850717067793
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0018196366,1.3535558,-7.3936157,6.850737,-3.2165980339050293,-2.829683303833008,-2.2431853652000426,2.242340600490569,2.8495664596557617,3.2585037016868563,3.6234076166152986
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,0.0005535337,0.5588732,-3.7650986,3.7036684,-1.4113121724128723,-1.2035009860992432,-0.9127056032419205,0.9169794380664823,1.2066853046417236,1.4127692747116067,1.6062320768833176
