layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.19007716,0.93865305,-9.184872,0.7958232,-7.091612815856934,-1.4717146158218384,-1.2712364137172698,0.06415424682199934,0.07820875942707062,0.08933505415916443,0.10786361992359161
5,diffusion_model.time_embed.2,Linear,0.0039218855,0.070633285,-0.40197313,1.8747602,-0.013915964402258396,-0.011987011879682541,-0.00908583691343665,0.01017125332728023,0.01366347260773182,0.02264527976512909,0.10932883620262146
8,diffusion_model.input_blocks.0.0,Conv2d,0.0031197767,0.3197472,-9.803483,8.941702,-0.9001843774318694,-0.6747051477432251,-0.4528238758444786,0.440651415288448,0.6375043392181396,0.822023680210112,1.0492982423305526
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.11616431,0.9946557,-33.25668,39.358383,-3.208051390647888,-2.6164677143096924,-1.8499394416809083,1.2564393281936637,1.6506519317626953,1.9526849663257582,2.2788470613956546
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,0.05129196,0.277492,-0.8674056,1.0751354,-0.6499229669570923,-0.5605947971343994,-0.37144106477499,0.4687998816370957,0.6360456943511963,0.7092990875244141,0.817582368850708
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.026985236,0.41227835,-36.764305,5.3917813,-1.3020294570922852,-1.045113205909729,-0.681951379776001,0.5284923702478408,0.7387391924858093,0.9482346487045192,1.2679221272468673
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.0037359127,0.25334665,-3.0565464,3.0349312,-0.6557716464996337,-0.5236404538154602,-0.37549438178539274,0.38862674385309215,0.5619289875030518,0.744458613991734,0.9697738975286488
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,0.0015461971,1.3979052,-7.548651,8.388126,-3.3761235308647155,-2.9492263793945312,-2.3101659655570983,2.305486738681793,2.9545199871063232,3.395061876773826,3.8056398689746924
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0022183128,1.3731802,-7.6385236,6.934817,-3.2622880792617797,-2.8726229667663574,-2.2763285875320434,2.2743708610534625,2.894876718521118,3.312009646892543,3.6876447987556573
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,0.000555713,0.5437267,-3.594032,3.5260262,-1.3770559525489807,-1.1711477041244507,-0.8873104989528656,0.8920391649007793,1.1755917072296143,1.3771634113788545,1.5679815375804955
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,-0.0007155131,0.23428336,-2.1300678,2.062579,-0.6155974674224853,-0.5040318369865417,-0.36510795205831525,0.37039097696542733,0.5202162265777588,0.6461113107204427,0.7788825836777742
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.070482895,0.5981184,-8.604863,7.748629,-2.017773578166962,-1.5495159196853638,-1.0320818424224854,0.7769329577684401,1.0142981791496277,1.1895066988468166,1.3673706084489812
