layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.12923245,0.8905769,-7.4236054,5.996126,-5.882613182067871,-1.4546399116516113,-1.2649358749389648,0.05053974408656359,0.07199933379888535,0.09105047583580017,3.9206509590148926
5,diffusion_model.time_embed.2,Linear,-0.013120115,0.31855702,-5.907514,3.672804,-0.024455513805150986,-0.01914171129465103,-0.014969785744324325,0.013585581257939277,0.01727311871945858,0.02347513660788536,0.07865282893180847
8,diffusion_model.input_blocks.0.0,Conv2d,0.0037168292,0.34605435,-5.566015,4.953332,-0.9049310117959976,-0.742777407169342,-0.5469143390655518,0.5375236332416534,0.7156100273132324,0.8600669425725906,1.018562949895862
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.104973726,0.81537604,-12.231797,15.7269125,-2.625824248790741,-2.113240957260132,-1.5026618659496307,1.0642514407634733,1.458395004272461,1.7652949821948964,2.072125419378282
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,-0.066499814,1.1990035,-8.587761,2.8687687,-6.657482147216797,-3.744486093521118,-1.6260677158832548,0.9308033674955358,1.3477051258087158,1.5085670948028564,2.241342306137085
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.101717226,0.5356769,-18.087044,3.9671798,-2.3748246836662292,-1.7095907926559448,-0.7780198246240616,0.5051567554473877,0.6842676401138306,0.8472926485538473,1.0787348127365117
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.0014184188,0.2005455,-2.595497,2.5641015,-0.5129533189535141,-0.4047756791114807,-0.29784825891256334,0.3029908731579779,0.41515052318573,0.531034151315687,0.6692757949233104
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.009883726,1.1730473,-6.6706214,6.886476,-2.8495753049850463,-2.4739012718200684,-1.933889091014862,1.9252054214477532,2.4733662605285645,2.84999311685562,3.201966953277598
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0052874926,1.1539487,-5.890786,5.9288797,-2.746379508972168,-2.4061081409454346,-1.902870786190033,1.9030378282070153,2.404604911804199,2.7358727574348443,3.0423769283294693
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-0.005126372,0.6302909,-4.1396956,4.921725,-1.5881549692153931,-1.355587363243103,-1.033461719751358,1.0236301362514486,1.3419718742370605,1.5723512136936169,1.7927677017450376
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,-0.00023662392,0.14192553,-1.508886,1.4378021,-0.35892201244831085,-0.29723691940307617,-0.22336684316396713,0.2242665462195872,0.30123934149742126,0.36570996493101104,0.43455046296119715
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.12898955,0.50169164,-7.6949935,6.2267213,-1.758127099275589,-1.3862028121948242,-0.9477443099021912,0.5878058224916449,0.7845786702632904,0.9207860153913483,1.0482485538721082
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,Linear,-0.009257215,0.21692994,-3.257773,2.9916234,-0.54141665995121,-0.4090637141466141,-0.29925183951854706,0.2834362417459488,0.3860658097267151,0.49671215623617093,0.7483836844563507
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,Linear,0.0276994,0.3487877,-1.9609274,1.8742688,-0.9489824098348617,-0.7672512531280518,-0.5076495379209518,0.5863602578639983,0.9029056429862976,1.0761862945556633,1.1840557807683956
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,Linear,-0.009379578,3.8984172,-25.188126,17.723454,-14.135122861862182,-8.515075054168701,-5.579549312591553,5.455309581756587,8.21731948852539,10.459725780487046,12.81484816074368
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,Linear,-0.006704599,0.69813514,-6.4808254,6.354285,-2.824676058292389,-1.717757225036621,-0.7815723091363905,0.777237594127655,1.4861199402809158,2.5781254649162255,3.262587879896162
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,Linear,0.00060899125,0.071895584,-0.7996571,0.7934145,-0.15869730234146118,-0.12815906196832658,-0.09707705751061439,0.0954242367297411,0.12778666198253633,0.1544907703995704,0.3133906285464775
53,diffusion_model.input_blocks.1.1.proj_out,Linear,0.011775241,0.23127648,-5.0976243,15.214355,-0.5221315056085587,-0.45239362120628357,-0.35346392542123795,0.38958195596933365,0.5142219126224519,0.6139606809616085,0.7160840305685998
59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,0.114140876,0.48480976,-4.5279517,6.600129,-1.322216101884842,-1.0565251064300538,-0.712871989607811,0.8310378313064575,1.0453874278068542,1.2156278860568999,1.395065932273865
63,diffusion_model.input_blocks.2.0.emb_layers.1,Linear,0.067961685,0.3525493,-1.3494823,1.0866976,-1.1363039016723633,-1.1002682447433472,-0.7045555323362349,0.4525799870491027,0.574320912361145,0.6672346591949463,0.8195664286613464
68,diffusion_model.input_blocks.2.0.out_layers.3,Conv2d,0.048394907,0.5041829,-3.256996,4.4271736,-1.045362411737442,-0.8927111077308655,-0.6905561089515686,0.8355090171098709,1.202748646736146,1.6168007135391216,2.0564351785183037
72,diffusion_model.input_blocks.2.1.proj_in,Linear,-0.009982401,0.3707805,-5.939478,3.2827077,-0.8898844563961029,-0.688157330751419,-0.5062888979911804,0.5014972001314162,0.664987931251526,0.800523262619971,0.9581261146068585
76,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_q,Linear,0.0445741,1.3826761,-6.955004,7.0921745,-3.1862092351913454,-2.8031588983535767,-2.2300537705421446,2.319357442855835,2.8927788209915164,3.2808409547805772,3.6404918169975304
77,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_k,Linear,0.07742258,1.3728814,-6.69141,6.6593685,-3.1280110454559327,-2.759735417366028,-2.197749924659729,2.3263164997100825,2.8706081295013433,3.232598216533659,3.5563979899883282
78,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_v,Linear,0.008491065,0.66066074,-4.348599,4.5471225,-1.6143953585624695,-1.3859140992164611,-1.068588775396347,1.0865124702453612,1.4041248345375061,1.633427968025206,1.8565660005807878
80,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_out.0,Linear,-0.002893731,0.22231145,-2.5021021,2.529656,-0.6401494866609573,-0.4604463708400726,-0.31398483365774155,0.30782873481512063,0.4256889319419862,0.5333928644657103,0.6683442962169648
85,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.030742615,0.4202884,-4.394547,4.373857,-1.0899975788593292,-0.925934271812439,-0.7122856378555298,0.6454578071832655,0.8400847589969636,0.9782366323471052,1.111261655092239
87,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.2,Linear,-0.0022753128,0.25396678,-2.4592612,3.9970045,-0.6077599960565567,-0.5144864320755005,-0.3908784732222557,0.38175805509090416,0.5181651079654697,0.6405908834934234,0.8209138604998611
89,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_q,Linear,-0.013475355,0.3182233,-1.5425895,1.6076107,-0.9769199407100677,-0.8530326545238495,-0.6003559976816177,0.4908047318458556,0.7454929399490359,0.8827067023515696,0.9848165768384934
90,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_k,Linear,0.17840342,4.0588493,-25.63845,31.088518,-12.488703947067261,-8.277461051940918,-5.117320418357849,5.976439285278296,9.887941684722902,13.36014187812791,18.07223892211914
91,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_v,Linear,0.023520993,0.73516905,-6.8838544,7.9828463,-2.379976243972778,-1.6061540675163268,-0.6018205463886261,0.6398521780967712,1.9974787688255322,2.949338912963867,4.004064226150502
93,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_out.0,Linear,-0.003952305,0.060046654,-1.416701,1.747062,-0.1166987044364214,-0.09376097619533538,-0.0723962053656578,0.07093108482658864,0.09537769719958306,0.11627666316926433,0.14179995290935066
98,diffusion_model.input_blocks.2.1.proj_out,Linear,0.0414164,0.49551257,-5.989293,4.8526855,-1.1393203854560852,-0.967114166021347,-0.7420486509799957,0.8342552423477168,1.096910936832428,1.3041788685321802,1.5194689524173774
101,diffusion_model.input_blocks.3.0.op,Conv2d,-0.0034808195,1.225592,-15.041683,14.4482155,-3.260424931049347,-2.5903935050964355,-1.859114223718643,1.8930907249450644,2.6115644311904878,3.2403940343856807,3.9337560510635368
107,diffusion_model.input_blocks.4.0.in_layers.2,Conv2d,-0.016192738,0.6666763,-9.460364,5.7245336,-2.16077269077301,-1.7096725869178773,-1.1772303342819215,0.905855670571327,1.1548541927337643,1.347898401021959,1.5515174472332016
111,diffusion_model.input_blocks.4.0.emb_layers.1,Linear,0.03977793,0.3480574,-2.9957309,2.221958,-1.405786395072937,-0.9045090079307556,-0.4651496171951293,0.3126602858304974,0.39327409863471985,0.42701324820518494,0.4868149161338806
116,diffusion_model.input_blocks.4.0.out_layers.3,Conv2d,-0.049378984,0.73644257,-6.0918264,4.5051737,-2.0525374126434324,-1.6541779041290283,-1.2330174148082733,1.0853278100490567,1.373748846054076,1.57313811659813,1.7603399407863622
117,diffusion_model.input_blocks.4.0.skip_connection,Conv2d,-0.010170927,0.78322434,-9.8315525,10.401847,-2.0580491709709166,-1.642834916114807,-1.2000797986984253,1.1794462144374842,1.6103514242172219,2.0055469250679048,2.5025372493267066
120,diffusion_model.input_blocks.4.1.proj_in,Linear,0.0092941085,0.5122257,-7.633698,6.885129,-1.2645791113376617,-0.9752701473236084,-0.7062334835529327,0.7297416031360625,0.9666099369525906,1.1784945106506406,1.4620139014720919
124,diffusion_model.input_blocks.4.1.transformer_blocks.0.attn1.to_q,Linear,0.013591196,1.0185827,-6.121534,6.331339,-2.5897184014320374,-2.21446596622467,-1.671633380651474,1.6968138515949245,2.2266939210891716,2.597785367965699,2.945571545362476
125,diffusion_model.input_blocks.4.1.transformer_blocks.0.attn1.to_k,Linear,0.026950678,1.0331911,-6.5089955,6.080938,-2.532632601261139,-2.1835383987426757,-1.675204873085022,1.7483416974544523,2.260892958641052,2.6088011097908046,2.9278498458862323
126,diffusion_model.input_blocks.4.1.transformer_blocks.0.attn1.to_v,Linear,-0.004119247,0.6871699,-5.6129045,5.492207,-1.6579362785816192,-1.4378925585746765,-1.1252975761890411,1.118523269891739,1.4317830801010132,1.6540659129619608,1.8701171201467515
128,diffusion_model.input_blocks.4.1.transformer_blocks.0.attn1.to_out.0,Linear,0.007368129,0.35676175,-4.093195,3.808132,-0.917460423707962,-0.7357918763160706,-0.5419252812862396,0.5521871179342268,0.7276247692108153,0.8754120415449147,1.0614463955163969
