layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.17899367,0.9644257,-8.702835,6.58492,-6.6289896965026855,-1.4927843809127808,-1.2733640849590298,0.040077279321849325,0.05122210830450058,0.058497413992881775,0.06828282028436661
5,diffusion_model.time_embed.2,Linear,-0.004682925,0.17513132,-3.0096455,2.0273438,-0.019295554608106613,-0.014727942645549774,-0.011301544122397898,0.010635575000196606,0.013784850016236305,0.018930990248918533,0.03526962921023369
8,diffusion_model.input_blocks.0.0,Conv2d,0.00338442,0.3343121,-8.086861,7.1596265,-0.8924233239889144,-0.7077224850654602,-0.5067966848611831,0.4961753711104392,0.6764599680900574,0.8332034975290297,1.0218233197927553
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.11157438,0.86198574,-22.794254,27.582188,-2.7806448268890382,-2.256596088409424,-1.6097949147224426,1.1098527133464806,1.4879547357559204,1.7835607767105093,2.0876034426689256
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,-0.004863322,0.6138133,-4.0690207,1.7070273,-3.3332908153533936,-2.03434419631958,-0.7349447131156921,0.5789257466793049,0.7244374752044678,1.0255932807922363,1.3962262868881226
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.069363795,0.4661032,-27.708931,4.674972,-1.8326877665519714,-1.3981571197509766,-0.741313624382019,0.49901608079671844,0.6903961300849915,0.8804283934831596,1.1700627988576997
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.0031385303,0.22078478,-2.8110907,2.858811,-0.5671987199783325,-0.4500107765197754,-0.3253387227654457,0.3339065194129942,0.47350120544433594,0.6296048003435126,0.8229298922419552
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.007319863,1.2755185,-6.856614,7.46916,-3.090716426372528,-2.6939234733581543,-2.106232297420502,2.097120237350463,2.695899486541748,3.1044915747642516,3.4841063988208774
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0034315402,1.2675866,-6.349008,6.485279,-3.0097558283805848,-2.644954204559326,-2.0937684178352356,2.0974229693412774,2.654991388320923,3.0281812405586193,3.3678063714504356
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-0.0012792574,0.6055623,-4.079994,4.423589,-1.5201224780082703,-1.300536870956421,-0.9911878049373627,0.9907380074262617,1.2978277206420898,1.5169975531101176,1.7252619999647165
