layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.18006721,0.92400455,-9.39726,1.2834457,-7.101178169250488,-1.3455536365509033,-1.2666181445121765,0.07063889056444164,0.08931216597557068,0.10060201585292816,0.11014169454574585
5,diffusion_model.time_embed.2,Linear,0.0035229982,0.07127044,-0.61901903,1.8634316,-0.012576514855027199,-0.011335819028317928,-0.00867318483069539,0.009202146343886797,0.011504990980029106,0.018737513571977615,0.11971235275268555
8,diffusion_model.input_blocks.0.0,Conv2d,0.0031380854,0.32102922,-9.701411,8.827456,-0.8981315189599991,-0.6768566966056824,-0.45724989175796504,0.4453009009361266,0.6399669051170349,0.8219548684358577,1.0467642104625716
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.115919806,0.97852063,-32.414154,38.417458,-3.1542614841461183,-2.576237440109253,-1.822519814968109,1.2377995908260342,1.6275957822799683,1.926819882392882,2.2506145012378695
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,0.046174422,0.2777791,-0.87577915,0.9623445,-0.6951668858528137,-0.5893254280090332,-0.400078634917736,0.4491923213005065,0.585675060749054,0.6378579139709473,0.6979950070381165
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.031125547,0.41573048,-35.97197,5.327856,-1.3499764120578766,-1.0796841382980347,-0.689438271522522,0.524560910463333,0.7335571050643921,0.9425165414810142,1.263221967220312
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.003775973,0.24936356,-3.0337677,3.002125,-0.6445452553033828,-0.5141478180885315,-0.36880538761615755,0.3815957933664322,0.5515298843383789,0.7325794076919454,0.9577513584494597
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,3.037889e-06,1.3849716,-7.536005,8.269404,-3.3454388689994814,-2.921874761581421,-2.290212881565094,2.283385348320007,2.927812337875366,3.3651666307449335,3.772034422159206
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.001905775,1.3629373,-7.517531,6.837623,-3.237553372383118,-2.85113787651062,-2.258795428276062,2.2572636008262625,2.8714897632598877,3.2844206905364928,3.653109875917437
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,0.0005708749,0.5516197,-3.6866798,3.6169002,-1.3951447534561157,-1.187976598739624,-0.90067438185215,0.9050301074981686,1.191678762435913,1.3956532025337218,1.5877402484416996
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,-0.00043671756,0.231925,-2.1345785,2.0145118,-0.609753913283348,-0.49870651960372925,-0.36101755797863005,0.3667698934674263,0.5151212215423584,0.6403860133886317,0.7719658404588751
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.07452072,0.5931337,-8.569211,7.6010885,-2.0132990980148318,-1.5473954248428345,-1.0283650338649748,0.7643395185470574,0.9981238520145417,1.1703408372402144,1.34498539328575
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,Linear,-0.004285875,0.31101456,-6.6103134,7.1493526,-0.8171234077215195,-0.6319756281375885,-0.44677346795797346,0.44813177883625016,0.6262155652046206,0.7749365854263304,0.9276074245572095
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,Linear,0.030183343,0.4026571,-2.0073652,2.3945048,-1.0544196844100953,-0.8725386261940002,-0.6154585927724838,0.7090241432189939,1.0135705471038818,1.2301408982276898,1.3795728105306644
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,Linear,-0.009379578,3.8984172,-25.188126,17.723454,-14.135122861862182,-8.515075054168701,-5.579549312591553,5.455309581756587,8.21731948852539,10.459725780487046,12.81484816074368
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,Linear,-0.006704599,0.69813514,-6.4808254,6.354285,-2.824676058292389,-1.717757225036621,-0.7815723091363905,0.777237594127655,1.4861199402809158,2.5781254649162255,3.262587879896162
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,Linear,0.00048283374,0.06686795,-0.7041038,0.87142503,-0.1580559554696083,-0.12769262105226517,-0.09579566195607185,0.09113093577325343,0.11773570463061334,0.15223903253674498,0.2625458453595646
53,diffusion_model.input_blocks.1.1.proj_out,Linear,-0.008099221,0.297514,-11.018648,36.298725,-0.7309923541545867,-0.6194169068336487,-0.47326749861240386,0.46221095770597453,0.6145260202884675,0.733559003472326,0.8570088893175133
59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,0.05183219,0.54743725,-4.0645156,6.2238274,-1.4805233633518218,-1.2463868045806885,-0.9083849787712097,0.8780370444059371,1.1310652160644532,1.3226734352111809,1.510751070976263
63,diffusion_model.input_blocks.2.0.emb_layers.1,Linear,0.045417514,0.14874198,-0.5098369,0.4202366,-0.3518458306789398,-0.29508283734321594,-0.24347094297409058,0.25921094864606853,0.29024064540863037,0.32598766684532166,0.36199232935905457
68,diffusion_model.input_blocks.2.0.out_layers.3,Conv2d,0.02357084,0.49639773,-3.361734,3.191116,-1.1337995648384094,-0.9843233394622802,-0.7711272001266479,0.8469397842884062,1.1028516006469733,1.294617031812665,1.482780389189724
72,diffusion_model.input_blocks.2.1.proj_in,Linear,-0.005890109,0.4134594,-6.063431,4.1011605,-1.0691790223121642,-0.8114975094795227,-0.5784403622150421,0.5789972692728043,0.8040918743610384,1.0138253962993602,1.27573340773583
76,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_q,Linear,0.054893997,1.4398851,-7.822981,7.0814595,-3.2974693322181703,-2.9001269245147707,-2.3100803017616274,2.424760103225708,3.0171010065078736,3.414807376861572,3.7829394245147725
77,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_k,Linear,0.06916416,1.4870623,-7.328655,8.068066,-3.4291551685333252,-3.0136158800125123,-2.3877325654029846,2.5159409642219543,3.1342431163787845,3.542956342697142,3.915834685564045
78,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_v,Linear,0.00017613011,0.64156556,-4.5568113,4.133044,-1.5901642882823943,-1.3601067137718201,-1.0456161618232727,1.0433029770851132,1.3567125940322886,1.585418454408643,1.809411408305173
80,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_out.0,Linear,-0.0058324207,0.30063698,-3.3769636,3.4221702,-0.8871435070037842,-0.679748249053955,-0.46214562803506853,0.43776403367519373,0.6231287157535554,0.795636519193648,1.0051404720544816
85,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.0.proj,Linear,0.019300735,0.5268542,-4.047006,4.7765727,-1.278694109916687,-1.095427827835083,-0.842321416735649,0.872787594795227,1.1202424550056458,1.3009305977821342,1.4803681647777545
87,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.2,Linear,0.0056378692,0.4113749,-3.3858461,5.6808724,-0.999711874127388,-0.8477154791355133,-0.642094475030899,0.6603239387273787,0.8927544403076174,1.0855998659133905,1.3193129009008429
89,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_q,Linear,-0.0117998095,0.29936454,-1.6056346,1.6561317,-0.9242736786603928,-0.8043941009044647,-0.5384959518909455,0.44344553500413886,0.670877811908722,0.827738110423087,0.934881927669049
90,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_k,Linear,0.17840342,4.0588493,-25.63845,31.088518,-12.488703947067261,-8.277461051940918,-5.117320418357849,5.976439285278296,9.887941684722902,13.36014187812791,18.07223892211914
91,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_v,Linear,0.023520993,0.73516905,-6.8838544,7.9828463,-2.379976243972778,-1.6061540675163268,-0.6018205463886261,0.6398521780967712,1.9974787688255322,2.949338912963867,4.004064226150502
93,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_out.0,Linear,-0.0035974314,0.06256121,-1.4973279,1.4349344,-0.146722918599844,-0.11487653777003289,-0.08079420439898968,0.07605047449469561,0.1109145034849644,0.1441350671648979,0.17631800144910842
98,diffusion_model.input_blocks.2.1.proj_out,Linear,0.012170339,0.5627406,-4.028714,4.7239523,-1.3592152655124665,-1.170995099544525,-0.9059293121099472,0.9333748131990431,1.205223391056061,1.3985447430610656,1.5833517885208135
