layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.14593413,0.91131455,-7.839962,6.2986164,-5.9482421875,-2.0244131088256836,-1.2555705189704895,0.0486848084256051,0.06300245225429535,0.0818091481924057,3.742488145828247
5,diffusion_model.time_embed.2,Linear,-0.013572316,0.31321073,-5.7541685,3.414824,-0.023360775783658028,-0.01749715581536293,-0.013055181503295881,0.011768989125266536,0.01629878766834736,0.024946529418230057,0.10220444202423096
8,diffusion_model.input_blocks.0.0,Conv2d,0.0036570367,0.3443458,-6.043491,5.358278,-0.9019092696905137,-0.737507164478302,-0.5416415452957153,0.5318583905696869,0.7097532153129578,0.855225844383237,1.0181752121448537
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.10612252,0.81963974,-13.997032,17.689432,-2.6399445247650144,-2.1267025470733643,-1.514428287744522,1.068007433414459,1.4592005014419556,1.7640500211715673,2.0712815833091764
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,-0.056108277,1.0872955,-7.6588917,2.6784613,-6.063623905181885,-3.42490291595459,-1.4024197340011595,0.8552551329135886,1.2289705276489258,1.4175492525100708,2.0869061946868896
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.0968218,0.52334607,-19.990849,4.1083755,-2.279677348136902,-1.6550959348678589,-0.772175207734108,0.5019154638051984,0.6823163628578186,0.8493589413166026,1.0932975119352393
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.0019053951,0.20360716,-2.6196702,2.558171,-0.5199104952812195,-0.4111720323562622,-0.30161443501710894,0.3077770352363586,0.4240764379501343,0.5485694938898045,0.696119717061521
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.009146465,1.1908635,-6.681879,7.1124535,-2.8900470399856566,-2.511889696121216,-1.9624249517917634,1.9560215592384338,2.512235403060913,2.8948226666450294,3.2522028326988264
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0053792545,1.1760935,-5.8987,5.9617076,-2.798328771591186,-2.4522197246551514,-1.939742362499237,1.9408190786838526,2.45385479927063,2.791801576614371,3.1046869623661086
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-0.0045356895,0.62750345,-4.135998,4.958847,-1.5805640733242035,-1.3489336967468262,-1.02865714430809,1.0204966008663172,1.3368598222732544,1.565751307010647,1.784009053707123
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,-9.557637e-05,0.15050927,-1.6072965,1.498639,-0.38326125413179396,-0.31552132964134216,-0.23561805486679077,0.23736782819032662,0.3220768868923187,0.39352094560861584,0.46982257694006263
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.124998674,0.5086253,-7.845705,6.2418904,-1.788368799686432,-1.4047505974769592,-0.9520060569047928,0.5988658100366591,0.7951402068138123,0.9336307674646367,1.0640033084154101
