,layer_num,layer_name,layer_type,min,max
62,184,diffusion_model.input_blocks.5.1.transformer_blocks.0.attn2.to_v,Linear,-8.764526,8.715681
63,186,diffusion_model.input_blocks.5.1.transformer_blocks.0.attn2.to_out.0,Linear,-8.502903,6.4936976
64,191,diffusion_model.input_blocks.5.1.proj_out,Linear,-124.37716,109.71
65,194,diffusion_model.input_blocks.6.0.op,Conv2d,-31.508291,40.204636
66,200,diffusion_model.input_blocks.7.0.in_layers.2,Conv2d,-22.81458,15.366713
67,204,diffusion_model.input_blocks.7.0.emb_layers.1,Linear,-24.142008,8.389301
68,209,diffusion_model.input_blocks.7.0.out_layers.3,Conv2d,-14.845015,12.510819
69,210,diffusion_model.input_blocks.7.0.skip_connection,Conv2d,-28.543165,22.038507
70,213,diffusion_model.input_blocks.7.1.proj_in,Linear,-23.356163,24.058237
71,217,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn1.to_q,Linear,-5.4160004,5.65526
72,218,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn1.to_k,Linear,-5.4781113,5.65489
73,219,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn1.to_v,Linear,-4.451974,4.816443
74,221,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn1.to_out.0,Linear,-15.130732,13.357263
75,226,diffusion_model.input_blocks.7.1.transformer_blocks.0.ff.net.0.proj,Linear,-8.176682,5.86665
76,228,diffusion_model.input_blocks.7.1.transformer_blocks.0.ff.net.2,Linear,-14.162672,12.85466
77,230,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn2.to_q,Linear,-5.2806573,5.8817797
78,231,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn2.to_k,Linear,-19.189072,17.421919
79,232,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn2.to_v,Linear,-5.6699924,8.451995
80,234,diffusion_model.input_blocks.7.1.transformer_blocks.0.attn2.to_out.0,Linear,-6.772911,6.905365
81,239,diffusion_model.input_blocks.7.1.proj_out,Linear,-13.884595,15.802881
82,245,diffusion_model.input_blocks.8.0.in_layers.2,Conv2d,-25.868269,13.351835
83,249,diffusion_model.input_blocks.8.0.emb_layers.1,Linear,-12.790918,4.226734
84,254,diffusion_model.input_blocks.8.0.out_layers.3,Conv2d,-15.561324,11.0341425
85,258,diffusion_model.input_blocks.8.1.proj_in,Linear,-22.880405,14.358111
86,262,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn1.to_q,Linear,-5.9623995,5.713089
87,263,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn1.to_k,Linear,-5.7958584,6.1218
88,264,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn1.to_v,Linear,-4.2669787,4.0408115
89,266,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn1.to_out.0,Linear,-14.831179,14.5396595
90,271,diffusion_model.input_blocks.8.1.transformer_blocks.0.ff.net.0.proj,Linear,-7.8478985,8.5857525
91,273,diffusion_model.input_blocks.8.1.transformer_blocks.0.ff.net.2,Linear,-10.44738,17.151363
92,275,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn2.to_q,Linear,-6.6204133,7.0413227
93,276,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn2.to_k,Linear,-15.40153,16.806921
94,277,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn2.to_v,Linear,-14.476992,11.016903
95,279,diffusion_model.input_blocks.8.1.transformer_blocks.0.attn2.to_out.0,Linear,-6.1636605,4.4826097
96,284,diffusion_model.input_blocks.8.1.proj_out,Linear,-28.187239,20.834887
97,287,diffusion_model.input_blocks.9.0.op,Conv2d,-59.291336,77.67844
98,293,diffusion_model.input_blocks.10.0.in_layers.2,Conv2d,-9.912528,14.808467
99,297,diffusion_model.input_blocks.10.0.emb_layers.1,Linear,-2.770363,2.610561
100,302,diffusion_model.input_blocks.10.0.out_layers.3,Conv2d,-42.266983,28.660519
101,309,diffusion_model.input_blocks.11.0.in_layers.2,Conv2d,-7.584983,6.665083
102,313,diffusion_model.input_blocks.11.0.emb_layers.1,Linear,-3.2596734,1.6188295
103,318,diffusion_model.input_blocks.11.0.out_layers.3,Conv2d,-20.967724,17.326313
104,325,diffusion_model.middle_block.0.in_layers.2,Conv2d,-6.0364027,7.919008
105,329,diffusion_model.middle_block.0.emb_layers.1,Linear,-1.807661,1.1515932
106,334,diffusion_model.middle_block.0.out_layers.3,Conv2d,-19.039621,14.065073
107,338,diffusion_model.middle_block.1.proj_in,Linear,-8.853437,6.8389935
108,342,diffusion_model.middle_block.1.transformer_blocks.0.attn1.to_q,Linear,-3.2724297,3.447962
109,343,diffusion_model.middle_block.1.transformer_blocks.0.attn1.to_k,Linear,-4.0088663,3.919862
110,344,diffusion_model.middle_block.1.transformer_blocks.0.attn1.to_v,Linear,-3.8529549,4.0367656
111,346,diffusion_model.middle_block.1.transformer_blocks.0.attn1.to_out.0,Linear,-3.2779272,3.0293381
112,351,diffusion_model.middle_block.1.transformer_blocks.0.ff.net.0.proj,Linear,-9.293395,7.0578575
113,353,diffusion_model.middle_block.1.transformer_blocks.0.ff.net.2,Linear,-4.427839,5.303139
114,355,diffusion_model.middle_block.1.transformer_blocks.0.attn2.to_q,Linear,-4.8544164,4.8245335
115,356,diffusion_model.middle_block.1.transformer_blocks.0.attn2.to_k,Linear,-14.228017,10.04645
116,357,diffusion_model.middle_block.1.transformer_blocks.0.attn2.to_v,Linear,-8.501348,8.402922
117,359,diffusion_model.middle_block.1.transformer_blocks.0.attn2.to_out.0,Linear,-2.7372956,2.3551915
118,364,diffusion_model.middle_block.1.proj_out,Linear,-35.05846,34.07804
119,369,diffusion_model.middle_block.2.in_layers.2,Conv2d,-5.428402,6.548899
120,373,diffusion_model.middle_block.2.emb_layers.1,Linear,-1.5947546,1.1597724
121,378,diffusion_model.middle_block.2.out_layers.3,Conv2d,-14.822176,21.189198
122,386,diffusion_model.output_blocks.0.0.in_layers.2,Conv2d,-8.726972,11.243858
123,390,diffusion_model.output_blocks.0.0.emb_layers.1,Linear,-2.2558732,1.2701339
124,395,diffusion_model.output_blocks.0.0.out_layers.3,Conv2d,-32.287697,83.29105
125,396,diffusion_model.output_blocks.0.0.skip_connection,Conv2d,-55.68911,43.52761
126,402,diffusion_model.output_blocks.1.0.in_layers.2,Conv2d,-12.360646,16.908443
127,406,diffusion_model.output_blocks.1.0.emb_layers.1,Linear,-2.7986026,1.5770613
128,411,diffusion_model.output_blocks.1.0.out_layers.3,Conv2d,-26.669899,45.42758
129,412,diffusion_model.output_blocks.1.0.skip_connection,Conv2d,-43.972813,36.898293
130,418,diffusion_model.output_blocks.2.0.in_layers.2,Conv2d,-20.926382,16.988043
131,422,diffusion_model.output_blocks.2.0.emb_layers.1,Linear,-3.5739684,2.1907284
132,427,diffusion_model.output_blocks.2.0.out_layers.3,Conv2d,-16.941238,17.909704
133,428,diffusion_model.output_blocks.2.0.skip_connection,Conv2d,-11.033537,15.071291
134,430,diffusion_model.output_blocks.2.1.conv,Conv2d,-30.167377,49.578167
135,436,diffusion_model.output_blocks.3.0.in_layers.2,Conv2d,-28.3774,18.736109
136,440,diffusion_model.output_blocks.3.0.emb_layers.1,Linear,-20.433317,8.56786
137,445,diffusion_model.output_blocks.3.0.out_layers.3,Conv2d,-25.389812,28.812641
138,446,diffusion_model.output_blocks.3.0.skip_connection,Conv2d,-21.188639,18.138287
139,449,diffusion_model.output_blocks.3.1.proj_in,Linear,-29.746391,23.268248
140,453,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn1.to_q,Linear,-8.549805,6.6257277
141,454,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn1.to_k,Linear,-6.468423,6.767836
142,455,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn1.to_v,Linear,-5.956346,5.2652807
143,457,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn1.to_out.0,Linear,-15.384043,14.054955
144,462,diffusion_model.output_blocks.3.1.transformer_blocks.0.ff.net.0.proj,Linear,-9.07084,9.070542
145,464,diffusion_model.output_blocks.3.1.transformer_blocks.0.ff.net.2,Linear,-14.570055,22.324875
146,466,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn2.to_q,Linear,-6.5985155,6.030674
147,467,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn2.to_k,Linear,-16.091862,17.54449
148,468,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn2.to_v,Linear,-7.477529,8.748812
149,470,diffusion_model.output_blocks.3.1.transformer_blocks.0.attn2.to_out.0,Linear,-6.656029,3.1896935
150,475,diffusion_model.output_blocks.3.1.proj_out,Linear,-54.122334,43.93628
151,481,diffusion_model.output_blocks.4.0.in_layers.2,Conv2d,-34.512836,18.914827
152,485,diffusion_model.output_blocks.4.0.emb_layers.1,Linear,-4.5576563,5.242024
153,490,diffusion_model.output_blocks.4.0.out_layers.3,Conv2d,-24.507051,23.050858
154,491,diffusion_model.output_blocks.4.0.skip_connection,Conv2d,-33.45771,31.106657
155,494,diffusion_model.output_blocks.4.1.proj_in,Linear,-39.456482,38.803394
156,498,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn1.to_q,Linear,-5.964184,6.663049
157,499,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn1.to_k,Linear,-6.7763033,7.2810764
158,500,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn1.to_v,Linear,-5.457237,5.066584
159,502,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn1.to_out.0,Linear,-25.537846,15.240337
160,507,diffusion_model.output_blocks.4.1.transformer_blocks.0.ff.net.0.proj,Linear,-44.956528,23.908293
161,509,diffusion_model.output_blocks.4.1.transformer_blocks.0.ff.net.2,Linear,-28.562834,38.482452
162,511,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn2.to_q,Linear,-6.864086,6.4273396
163,512,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn2.to_k,Linear,-17.018562,15.1693
164,513,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn2.to_v,Linear,-10.899056,8.246441
165,515,diffusion_model.output_blocks.4.1.transformer_blocks.0.attn2.to_out.0,Linear,-8.439849,4.185735
166,520,diffusion_model.output_blocks.4.1.proj_out,Linear,-90.845665,74.044174
167,526,diffusion_model.output_blocks.5.0.in_layers.2,Conv2d,-488.54425,106.30744
168,530,diffusion_model.output_blocks.5.0.emb_layers.1,Linear,-4.7198763,4.654865
169,535,diffusion_model.output_blocks.5.0.out_layers.3,Conv2d,-41.4861,48.90199
170,536,diffusion_model.output_blocks.5.0.skip_connection,Conv2d,-83.87015,90.947716
171,539,diffusion_model.output_blocks.5.1.proj_in,Linear,-38.971153,653.221
172,543,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn1.to_q,Linear,-5.653859,5.543462
173,544,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn1.to_k,Linear,-6.229476,7.1684017
174,545,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn1.to_v,Linear,-4.9320807,4.775614
175,547,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn1.to_out.0,Linear,-30.658571,34.837967
176,552,diffusion_model.output_blocks.5.1.transformer_blocks.0.ff.net.0.proj,Linear,-17.629608,8.503539
177,554,diffusion_model.output_blocks.5.1.transformer_blocks.0.ff.net.2,Linear,-50.22495,13.763861
178,556,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn2.to_q,Linear,-7.186782,7.121908
179,557,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn2.to_k,Linear,-14.497362,13.265361
180,558,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn2.to_v,Linear,-11.874507,12.794655
181,560,diffusion_model.output_blocks.5.1.transformer_blocks.0.attn2.to_out.0,Linear,-2.9394171,25.87106
182,565,diffusion_model.output_blocks.5.1.proj_out,Linear,-134.91315,95.419716
183,567,diffusion_model.output_blocks.5.2.conv,Conv2d,-753.89325,374.1365
184,573,diffusion_model.output_blocks.6.0.in_layers.2,Conv2d,-120.17857,348.971
185,577,diffusion_model.output_blocks.6.0.emb_layers.1,Linear,-5.1769714,6.6974883
186,582,diffusion_model.output_blocks.6.0.out_layers.3,Conv2d,-256.9494,339.47974
187,583,diffusion_model.output_blocks.6.0.skip_connection,Conv2d,-50.093323,47.65207
188,586,diffusion_model.output_blocks.6.1.proj_in,Linear,-216.48091,870.78564
189,590,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn1.to_q,Linear,-8.018911,8.078906
190,591,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn1.to_k,Linear,-8.289084,8.718369
191,592,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn1.to_v,Linear,-7.1271043,7.9883194
192,594,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn1.to_out.0,Linear,-13.212508,27.174583
193,599,diffusion_model.output_blocks.6.1.transformer_blocks.0.ff.net.0.proj,Linear,-23.692461,14.884257
194,601,diffusion_model.output_blocks.6.1.transformer_blocks.0.ff.net.2,Linear,-121.52694,76.524185
195,603,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn2.to_q,Linear,-5.8569736,5.8298316
196,604,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn2.to_k,Linear,-14.180484,13.486801
197,605,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn2.to_v,Linear,-12.080141,14.269036
198,607,diffusion_model.output_blocks.6.1.transformer_blocks.0.attn2.to_out.0,Linear,-5.287493,12.288078
199,612,diffusion_model.output_blocks.6.1.proj_out,Linear,-671.49646,310.80737
200,618,diffusion_model.output_blocks.7.0.in_layers.2,Conv2d,-69.28125,39.242687
201,622,diffusion_model.output_blocks.7.0.emb_layers.1,Linear,-2.211009,1.8006223
202,627,diffusion_model.output_blocks.7.0.out_layers.3,Conv2d,-50.834328,42.97263
203,628,diffusion_model.output_blocks.7.0.skip_connection,Conv2d,-220.23912,151.50996
204,631,diffusion_model.output_blocks.7.1.proj_in,Linear,-130.9934,344.58722
205,635,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn1.to_q,Linear,-7.5766115,8.148486
206,636,diffusion_model.output_blocks.7.1.transformer_blocks.0.attn1.to_k,Linear,-7.724831,9.028966
