layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.0913595,0.8013849,-5.7454886,7.2311873,-4.3116679191589355,-1.491754174232483,-1.2671969890594483,0.05586101114749846,0.07892216742038727,2.858902931213379,4.449344158172607
5,diffusion_model.time_embed.2,Linear,-0.012749862,0.37497386,-5.666373,5.0030665,-1.2772483825683594,-0.024039268493652344,-0.017619885690510272,0.016545106004923572,0.0210290364921093,0.02672441117465496,0.09455666691064835
8,diffusion_model.input_blocks.0.0,Conv2d,0.0040816073,0.35277513,-3.7716868,3.9256794,-0.9149818736314773,-0.7600094079971313,-0.5659064054489136,0.5583026140928267,0.7368113994598389,0.8769344973564146,1.02706242859364
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.09954429,0.8062686,-10.585345,7.1517158,-2.5973751544952393,-2.0858471393585205,-1.4679852604866028,1.0600048780441282,1.4633570909500122,1.779335511922835,2.0921034502983127
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,-0.122385815,1.9586662,-14.683577,4.155112,-10.446386337280273,-6.008223056793213,-2.858224809169769,1.553089123964309,1.968278169631958,2.4229471683502197,3.4200377464294434
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.121467896,0.5855043,-7.123182,2.967868,-2.7746430611610413,-1.9586889743804932,-0.8012120902538299,0.5302173882722854,0.7054824829101562,0.8433200216293326,0.9970011493563677
27,diffusion_model.input_blocks.1.1.proj_in,Linear,-0.00035067232,0.18949126,-2.1240585,1.6955738,-0.5008457022905349,-0.3797297477722168,-0.2795409396290779,0.28211046010255814,0.37442606687545776,0.4582292884588223,0.5721556052565673
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.01223472,1.0534272,-6.007667,5.742379,-2.554130880832672,-2.21817684173584,-1.7336276292800903,1.7283453106880187,2.218937397003174,2.557085039615619,2.875296353101735
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0052918447,1.0139478,-5.747302,5.3194017,-2.415625324249268,-2.1125826835632324,-1.6651065051555634,1.6704267442226408,2.1075212955474854,2.405393910408017,2.6769007217884067
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-0.0054685767,0.6289913,-4.2740164,4.5845222,-1.5938495814800262,-1.3549941778182983,-1.0308965802192689,1.0176755726337432,1.340070128440857,1.5736332511901803,1.7991875338554428
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,0.0024776836,0.11157603,-0.7455634,1.1941233,-0.2724303901195526,-0.23204006254673004,-0.17856983840465546,0.17992843836545944,0.23075014352798462,0.2694725483655926,0.31154814198613223
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.14572053,0.48430938,-5.7315655,4.544412,-1.578235946893692,-1.2897383952140808,-0.9370919466018677,0.572524908185005,0.7854053330421449,0.954667219519612,1.1194941294193264
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,Linear,-0.008687059,0.2166693,-2.6635904,2.6742442,-0.5422689777612686,-0.4285475569963455,-0.3205093428492546,0.3026315093040466,0.4073366910219193,0.510178164243697,0.6729555591940903
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,Linear,0.03368079,0.3541971,-1.6785642,1.5918124,-0.9544010412693024,-0.7504402995109558,-0.5195913642644882,0.6138044923543928,0.962163507938385,1.101572576761245,1.1694270068407069
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,Linear,-0.009379578,3.8984172,-25.188126,17.723454,-14.135122861862182,-8.515075054168701,-5.579549312591553,5.455309581756587,8.21731948852539,10.459725780487046,12.81484816074368
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,Linear,-0.006704599,0.69813514,-6.4808254,6.354285,-2.824676058292389,-1.717757225036621,-0.7815723091363905,0.777237594127655,1.4861199402809158,2.5781254649162255,3.262587879896162
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,Linear,0.00022960894,0.068790756,-0.63384235,0.7380761,-0.1557144743204117,-0.1235748702287674,-0.09466123618185521,0.0913404457271099,0.12096621096134186,0.1440048232674598,0.29210512027144553
53,diffusion_model.input_blocks.1.1.proj_out,Linear,0.014660097,0.23932163,-2.2840407,3.0938768,-0.5401881939172745,-0.4703755736351013,-0.36938021928071973,0.4070464953780173,0.5344965410232545,0.6358378475904463,0.740415271818639
59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,0.13519694,0.45393947,-4.689678,4.9488187,-1.2202194082736968,-0.9503846490383148,-0.6148321330547333,0.8130311399698258,1.0089104080200197,1.1621350789070128,1.3322944897413254
