layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.18214966,0.91732067,-8.630274,5.7668133,-6.5850138664245605,-1.4573460817337036,-1.2616058468818665,0.06959933005273303,0.08966820687055588,0.10410664975643158,0.11668767780065536
5,diffusion_model.time_embed.2,Linear,-0.00039471532,0.11867967,-2.0498383,1.6058054,-0.0167551189661026,-0.01179528422653675,-0.009309473261237142,0.009693335322663187,0.012089839205145836,0.013825563713908195,0.0617344044148922
8,diffusion_model.input_blocks.0.0,Conv2d,0.0032735579,0.32904616,-8.848247,7.928277,-0.8917055183649063,-0.6935973763465881,-0.48745293766260145,0.4760227054357527,0.6602532267570496,0.8263035857677447,1.0309174042940152
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.11369023,0.8984439,-26.787561,32.095974,-2.8971937656402584,-2.3617374897003174,-1.6809359312057495,1.1488471686840054,1.5250275135040283,1.820646874904624,2.12816114544869
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,0.016226342,0.4373326,-2.7084043,1.2208234,-2.168713092803955,-1.4448890686035156,-0.5289839893579483,0.4821735337376594,0.6499002575874329,0.7547188997268677,1.0487769842147827
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.054824904,0.4431752,-31.00915,5.0161858,-1.6379410886764527,-1.2771830558776855,-0.7248390674591064,0.5058905065059661,0.704246997833252,0.9050001090764987,1.2104119694232949
27,diffusion_model.input_blocks.1.1.proj_in,Linear,0.0034817255,0.23053038,-2.905965,2.8450541,-0.5926391535997391,-0.47151482105255127,-0.3396786868572235,0.3495777681469916,0.5010735988616943,0.6681314980983694,0.8785564410686517
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.005858409,1.3161852,-7.167235,7.516674,-3.1860102820396423,-2.7794127464294434,-2.176485741138458,2.1655622839927666,2.7825591564178467,3.203860960006698,3.593202009201084
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0019193046,1.3051078,-6.767087,6.7371583,-3.1026889491081238,-2.726961851119995,-2.159211814403534,2.1599233388900756,2.7386057376861572,3.124783978462212,3.476675503253954
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-2.9400104e-05,0.58861125,-4.006674,4.162294,-1.4791129159927368,-1.2657278776168823,-0.9628014296293258,0.9647172927856444,1.2656663656234741,1.4796750044822684,1.6814004343748112
